Kod;Nazwa;ofiary œmiertelne;;;;;;;;;;;;;;;;;;;;;
;;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba]
1219000;Powiat wielicki;-;-;-;-;-;-;-;-;-;-;-;-;13;10;18;18;9;10;8;10;7;8
1261000;Powiat m.Kraków;-;-;-;-;-;-;-;-;-;-;-;-;43;27;12;15;17;16;18;26;14;16
1262000;Powiat m.Nowy S¹cz;-;-;-;-;-;-;-;-;-;-;-;-;3;1;6;6;2;2;3;3;2;4
1263000;Powiat m.Tarnów;-;-;-;-;-;-;-;-;-;-;-;-;3;2;1;2;5;5;2;2;3;3
1400000;MAZOWIECKIE;1 123;994;900;1 015;905;967;885;849;956;920;786;655;714;587;562;518;487;508;464;448;469;420
1401000;Powiat bia³obrzeski;-;-;-;-;-;-;-;-;-;-;-;-;3;7;8;5;7;8;1;2;6;4
1402000;Powiat ciechanowski;-;-;-;-;-;-;-;-;-;-;-;-;24;13;22;10;10;13;8;12;9;9
1403000;Powiat garwoliñski;-;-;-;-;-;-;-;-;-;-;-;-;23;24;13;15;21;17;13;11;15;9
1404000;Powiat gostyniñski;-;-;-;-;-;-;-;-;-;-;-;-;9;9;7;5;1;4;6;5;7;5
1405000;Powiat grodziski;-;-;-;-;-;-;-;-;-;-;-;-;5;4;5;4;7;6;6;6;5;5
1406000;Powiat grójecki;-;-;-;-;-;-;-;-;-;-;-;-;32;18;19;13;23;25;12;14;11;19
1407000;Powiat kozienicki;-;-;-;-;-;-;-;-;-;-;-;-;17;10;10;10;7;14;7;10;6;12
1408000;Powiat legionowski;-;-;-;-;-;-;-;-;-;-;-;-;11;7;7;8;7;3;8;3;4;5
1409000;Powiat lipski;-;-;-;-;-;-;-;-;-;-;-;-;9;11;5;7;2;7;11;3;7;7
1410000;Powiat ³osicki;-;-;-;-;-;-;-;-;-;-;-;-;10;6;7;7;3;3;6;10;4;4
1411000;Powiat makowski;-;-;-;-;-;-;-;-;-;-;-;-;12;8;12;7;9;11;8;9;12;5
1412000;Powiat miñski;-;-;-;-;-;-;-;-;-;-;-;-;22;23;20;18;17;17;21;9;18;14
1413000;Powiat m³awski;-;-;-;-;-;-;-;-;-;-;-;-;12;18;12;15;24;9;13;10;11;11
